id,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,Steppenwolf,Steppenwolf,1968,210373,73,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,audio_features,spotify:track:63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/tracks/63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/audio-analysis/63OFKbMaZSDZ4wtesuuq6f,210373,4
1Dr1fXbc2IxaK1Mu8P8Khz,When I Come Around,Dookie,Green Day,1994-02-01,178000,74,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,audio_features,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/tracks/1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/audio-analysis/1Dr1fXbc2IxaK1Mu8P8Khz,178000,4
1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,Buffalo Springfield,1966-12-05,153693,75,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,audio_features,spotify:track:1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693,4
62PaSfnXSMyLshYJrlTuL3,Hello,25,Adele,2015-11-20,295502,73,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,spotify:track:62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502,4
6L5BZEcZmD6RBJnimzlyKr,Nights In White Satin - Single Version / Mono Mix,Days Of Future Passed (Deluxe Version),The Moody Blues,1967-11-10,269106,67,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,audio_features,spotify:track:6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/tracks/6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/audio-analysis/6L5BZEcZmD6RBJnimzlyKr,269107,4
1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,21,Adele,2011-01-24,228093,76,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,audio_features,spotify:track:1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/tracks/1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/audio-analysis/1c8gk2PeTE04A1pIDH9YMk,228093,4
6c9nkeetGbsoXa7d5E1wHa,Crying in the Rain,"East of the Sun, West of the Moon",a-ha,1990-10-27,260226,61,0.394,0.547,2,-9.276,1,0.0383,0.436,0.000111,0.344,0.151,181.74,audio_features,spotify:track:6c9nkeetGbsoXa7d5E1wHa,https://api.spotify.com/v1/tracks/6c9nkeetGbsoXa7d5E1wHa,https://api.spotify.com/v1/audio-analysis/6c9nkeetGbsoXa7d5E1wHa,260227,4
561F1zqRwGPCTMRsLsXVtL,Time in a Bottle,You Don't Mess Around With Jim,Jim Croce,1972-04-01,146175,67,0.544,0.265,2,-11.952,1,0.035,0.848,0.0,0.196,0.7,133.837,audio_features,spotify:track:561F1zqRwGPCTMRsLsXVtL,https://api.spotify.com/v1/tracks/561F1zqRwGPCTMRsLsXVtL,https://api.spotify.com/v1/audio-analysis/561F1zqRwGPCTMRsLsXVtL,146176,3
73CMRj62VK8nUS4ezD2wvi,Set Fire to the Rain,21,Adele,2011-01-24,242973,75,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,audio_features,spotify:track:73CMRj62VK8nUS4ezD2wvi,https://api.spotify.com/v1/tracks/73CMRj62VK8nUS4ezD2wvi,https://api.spotify.com/v1/audio-analysis/73CMRj62VK8nUS4ezD2wvi,242974,4
7w5AOd6HrDIHewHfpABEss,Wicked Game,Heart Shaped World,Chris Isaak,1989-06-13,289066,72,0.663,0.296,9,-18.09,1,0.0294,0.68,0.00837,0.0879,0.359,112.306,audio_features,spotify:track:7w5AOd6HrDIHewHfpABEss,https://api.spotify.com/v1/tracks/7w5AOd6HrDIHewHfpABEss,https://api.spotify.com/v1/audio-analysis/7w5AOd6HrDIHewHfpABEss,289067,4
